headlines,text,date,author,read_more,image_url,inshorts_url,original_source,day
What is India's 1st International Bullion Exchange to be launched by PM Modi today?,"PM Narendra Modi will launch ​​India’s first bullion exchange- the India International Bullion Exchange (IIBX) in Gujarat’s GIFT City on Friday. Announced in 2020's Budget, the IIBX will sell physical gold and silver and is expected to bring transparency to the price-setting mechanism while providing standardisation to bullion's financialisation in India. Ashok Gautam will be its MD and CEO.",2022-07-29,Ridham Gambhir,https://www.hindustantimes.com/business/iibx-all-you-need-to-know-about-india-s-first-international-bullion-exchange-101659022728900-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659073067359_398.jpg?,https://inshorts.com/en/news/what-is-indias-1st-international-bullion-exchange-to-be-launched-by-pm-modi-today-1659075318680,Hindustan Times,Friday
Amazon adds $150 billion to its value in a day despite $2 billion quarterly loss,"Shares of Amazon surged after hours on Thursday, adding more than $150 billion to its market valuation following the announcement of second-quarter results. Amazon posted its second straight quarterly loss of $2 billion, against a net income of $7.8 billion in the year-ago period. However, the company's revenue for the quarter ended June topped estimates, increasing 7% to $121.2 billion.",2022-07-29,Hiral Goyal,https://www.reuters.com/technology/amazon-beats-quarterly-sales-estimates-2022-07-28/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659068066146_116.jpg?,https://inshorts.com/en/news/amazon-adds-$150-billion-to-its-value-in-a-day-despite-$2-billion-quarterly-loss-1659068616860,Reuters,Friday
Billionaire Jack Ma planning to give up control of Ant Group: Reports,"Chinese billionaire Jack Ma is planning to give up control of Ant Group by divesting his stake from Hangzhou Yunbo Investment Consultancy, which dominantly controls the fintech giant, Wall Street Journal reported. Ma could transfer his voting power to Ant officials including CEO Eric Jing, the report added. A regulatory crackdown had halted Ant Group's $37-billion IPO in 2020.",2022-07-28,Anmol Sharma,https://www.reuters.com/technology/jack-ma-plans-give-up-control-ant-group-wsj-2022-07-28/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/28_thu/img_1659015847143_411.jpg?,https://inshorts.com/en/news/billionaire-jack-ma-planning-to-give-up-control-of-ant-group-reports-1659017263647,Reuters,Thursday
Apple's Q3 revenue rises 2% y-o-y to $83 billion led by iPhone sales,"Apple's revenue for the April-June quarter rose 2% year-on-year to $83 billion as demand for iPhones remained unaffected by consumers tightening other spending. The company's iPhone sales, its biggest source of revenue, stood at $40.67 billion. Apple CEO Tim Cook said the results were better than expected. He added that the company is still hiring, but on a ""deliberate basis"".",2022-07-29,Hiral Goyal,https://www.reuters.com/technology/apple-results-top-estimates-iphone-escapes-economic-slump-2022-07-28/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659066144751_216.jpg?,https://inshorts.com/en/news/apples-q3-revenue-rises-2-yoy-to-$83-billion-led-by-iphone-sales-1659067139518,Reuters,Friday
"Vivo says freezing of bank accounts by ED 'illegal', denies money laundering claims","Vivo India has refuted the accusations of money laundering and financial terrorism and called the freezing of its bank accounts by the Enforcement Directorate ""illegal"". It told the Delhi High Court that it has ""contributed greatly towards the financial integrity and economic stability"" of India. Vivo India also denied claims of sending money to China to evade taxes in India.",2022-07-29,Ridham Gambhir,https://www.timesnownews.com/business-economy/companies/vivo-india-says-account-freezing-illegal-denies-money-laundering-financial-terrorism-charges-article-93204305/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659083231677_613.jpg?,https://inshorts.com/en/news/vivo-says-freezing-of-bank-accounts-by-ed-illegal-denies-money-laundering-claims-1659085083171,Times Now,Friday
"Ola to fire 1,000 employees as it shifts focus to EV business: Report","Ola is reportedly in the process to fire 1,000 employees as it shifts its focus toward Ola Electric. Ola is hiring ""aggressively"" for the electric mobility business, said executives involved in the recruitment process. According to one of the executives, the company is asking employees to voluntarily resign and delaying appraisal for some of them for the same reason.",2022-07-29,Ridham Gambhir,https://yourstory.com/2022/07/ola-fires-1000-ola-electric-hire-aggressively/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659074908101_526.jpg?,https://inshorts.com/en/news/ola-to-fire-1000-employees-as-it-shifts-focus-to-ev-business-report-1659076298568,Yourstory,Friday
"Who is Kanika Tekriwal, the youngest self-made Indian woman as per Hurun?","Kanika Tekriwal, the 33-year-old CEO of JetSetGo, is the youngest self-made woman on the Kotak Private Banking Hurun Leading Wealthy Women List, with a ₹420 crore fortune. Tekriwal launched the plane aggregator startup with her friend in 2013 and owns 10 private jets today. Tekriwal is a cancer survivor, who was diagnosed with Hodgkin's lymphoma at the age of 22.",2022-07-29,Hiral Goyal,https://www.news18.com/amp/news/business/kanika-tekriwal-named-richest-self-made-entrepreneur-in-india-what-is-her-net-worth-5646403.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659074659795_238.jpg?,https://inshorts.com/en/news/who-is-kanika-tekriwal-the-youngest-selfmade-indian-woman-as-per-hurun-1659079440176,News18,Friday
Swiggy allows permanent work-from-anywhere for majority of employees,"Swiggy on Friday announced that it will allow permanent work-from-anywhere for a majority of its employees. It said corporate, central business functions and technology teams will continue to work remotely and converge once every quarter for a week to promote in-person bonding. It said the decision was based on feedback from the team regarding increased productivity enabled during remote working.",2022-07-29,Ridham Gambhir,https://www.outlookindia.com/business/swiggy-to-allow-permanent-work-from-anywhere-news-212761/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659087851001_24.jpg?,https://inshorts.com/en/news/swiggy-allows-permanent-workfromanywhere-for-majority-of-employees-1659088879474,Outlook India,Friday
I'm going to be the last person to be paid in this company: Paytm CEO,"Paytm Founder and CEO Vijay Shekhar Sharma in an interview with Bloomberg said, ""I'm going to be the last person to be paid in this company."" He also reiterated that his personal stock grants will vest only after the company's shares stay sustainably above the IPO price of ₹2,150. ""One day soon, we will get our due,"" Sharma further said.",2022-07-29,Hiral Goyal,https://www.bqprime.com/business/fintech-pioneer-chases-1-billion-goal-unfazed-by-ipo-fiasco?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659080860474_268.jpg?,https://inshorts.com/en/news/im-going-to-be-the-last-person-to-be-paid-in-this-company-paytm-ceo-1659083858777,BQ Prime,Friday
Who are the richest self-made Indian women according to Hurun?,"Nykaa's Founder Falguni Nayar is the richest self-made woman in India with a wealth of ₹57,520 crore, as per Kotak Private Banking Hurun Leading Wealthy Women List 2021. She is followed by Biocon Founder Kiran Mazumdar-Shaw, Zoho's Radha Vembu and Confluent Co-founder Neha Narkhede. According to Hurun, ten self-made women made their debut on the list this year.",2022-07-29,Hiral Goyal,https://twitter.com/HurunReportInd/status/1552524663078932480?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/29_fri/img_1659063707536_138.jpg?,https://inshorts.com/en/news/who-are-the-richest-selfmade-indian-women-according-to-hurun-1659065531205,Twitter,Friday
