headlines,text,date,author,read_more,image_url,inshorts_url,original_source,day
India's first-ever 5G spectrum auction begins today,"India will kick off its first-ever 5G spectrum auction today, with four players looking to bid on 72 GHz of spectrum worth ₹4.3 lakh crore. Reliance Jio, Bharti Airtel, Vodafone Idea and new entrant Adani Data Networks are set to participate in the auction. The auction will be held for spectrum in various low, mid and high frequency bands.",2022-07-26,Hiral Goyal,https://www.bqprime.com/business/5g-spectrum-auction-begins-tuesday-jio-airtel-among-4-companies-in-fray?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658805902562_917.jpg?,https://inshorts.com/en/news/indias-firstever-5g-spectrum-auction-begins-today-1658806865174,BQ Prime,Tuesday
5G auction bid amount crosses ₹1.4 lakh crore on day 1,"Around ₹1.45 lakh crore of revenue was generated during four rounds of bidding on the first day of India's first-ever 5G spectrum auction, Information Technology Minister Ashwini Vaishnaw said. By September-October this year, 5G services will begin in the country, he added. Airwaves worth ₹4.3 lakh crore are up for grabs in the auction.",2022-07-26,Sakshita Khosla,https://twitter.com/ANI/status/1551947810852876288?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658848908808_216.jpg?,https://inshorts.com/en/news/5g-auction-bid-amount-crosses-₹14-lakh-crore-on-day-1-1658849530311,ANI,Tuesday
Zomato's share price falls to all-time low for 2nd consecutive day,"Zomato's share price fell to ₹43, an all-time low for the second consecutive day during Tuesday’s trade. The stock had declined to a record low of ₹46 on Monday as the one-year lock-in period for pre-IPO shareholders ended on July 23. Zomato was listed on the BSE and NSE in July 2021 and the stock has fallen 69% this year.",2022-07-26,Ridham Gambhir,https://www.bseindia.com/stock-share-price/zomato-ltd/zomato/543320/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658818177574_16.jpg?,https://inshorts.com/en/news/zomatos-share-price-falls-to-alltime-low-for-2nd-consecutive-day-1658818818597,bseindia.com,Tuesday
WWE discloses $14.6 mn in unrecorded expenses made by ex-CEO McMahon,"WWE has disclosed $14.6 million in previously unrecorded expenses made by its former CEO Vince McMahon, who recently retired from his position amid allegations of sexual misconduct. WWE said it will revise its recent financial statements to reflect the unrecorded expenses. McMahon is currently under probe for paying $12 million to women to suppress allegations of sexual misconduct and infidelity.",2022-07-26,Hiral Goyal,https://www.reuters.com/business/wwe-restate-results-after-finding-unrecorded-expenses-tied-vince-mcmahon-2022-07-25/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658831857955_95.jpg?,https://inshorts.com/en/news/wwe-discloses-$146-mn-in-unrecorded-expenses-made-by-exceo-mcmahon-1658834054957,Reuters,Tuesday
"Vivo indulged in money laundering, challenged India's integrity: ED","The Enforcement Directorate told the Delhi High Court that Vivo India indulged in money laundering to destabilise the financial system and challenge the integrity and sovereignty of the country. In an affidavit, ED said Vivo India incorporated 22 firms in different states which allegedly laundered money. It added that it is scanning the suspicious financial transactions of these 22 firms.",2022-07-25,Ridham Gambhir,https://www.moneycontrol.com/news/trends/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-265-8879331.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658737709425_781.jpg?,https://inshorts.com/en/news/vivo-indulged-in-money-laundering-challenged-indias-integrity-ed-1658739578174,Moneycontrol,Monday
Mark Zuckerberg sells his San Francisco house for record $31 million,"Meta CEO Mark Zuckerberg has sold his house in San Francisco for $31 million, making it the largest residential deal in San Francisco this year. Zuckerberg purchased the house in November 2012 for around $10 million. The property has a wine room, wet bar, four bedrooms and four bathrooms, spanning over 7,300 square feet.",2022-07-26,Ridham Gambhir,https://www.moneycontrol.com/news/business/mark-zuckerberg-sells-his-san-francisco-house-for-31-million-8888171.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658813497080_281.jpg?,https://inshorts.com/en/news/mark-zuckerberg-sells-his-san-francisco-house-for-record-$31-million-1658814696521,Moneycontrol,Tuesday
HCL CEO Vijayakumar becomes India's highest-paid IT chief with ₹131.08 cr pay in FY22,"HCL CEO C Vijayakumar became the highest-paid CEO in IT firms in India with a total earning of $16.52 million (₹131.08 crore) in FY22 after getting a two-year long-term incentive worth $12.5 million (₹94 crore). In FY21, his total salary was $4.13 million (₹30.60 crore). In FY22, Wipro CEO Thierry Delaporte's pay stood at $10.51 million (₹79.8 crore).",2022-07-26,Ridham Gambhir,https://www.news18.com/amp/news/business/hcl-ceo-c-vijayakumar-becomes-highest-paid-indian-it-chief-know-his-salary-5621305.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658831730689_289.jpg?,https://inshorts.com/en/news/hcl-ceo-vijayakumar-becomes-indias-highestpaid-it-chief-with-₹13108-cr-pay-in-fy22-1658834328175,News18,Tuesday
Sergey & Nicole said story isn't coming from them: Musk on report of affair with Nicole,"Speaking about a report alleging his affair with Google Co-founder Sergey Brin's wife, Nicole, Tesla CEO Elon Musk said, ""I spoke with both Sergey and Nicole about this and they say the story isn’t coming from them"". Musk also shared a photo of him and Brin partying together on Sunday and commented, ""A picture is worth 1,000 tweets.""",2022-07-26,Ridham Gambhir,https://twitter.com/elonmusk/status/1551619646306091008?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658816505359_103.jpg?,https://inshorts.com/en/news/sergey-nicole-said-story-isnt-coming-from-them-musk-on-report-of-affair-with-nicole-1658818631915,Twitter,Tuesday
Blinkit served piping hot misery to Zomato: Ashneer as Zomato shares hit record low,"BharatPe's ex-MD Ashneer Grover on Tuesday remarked that Blinkit has ""served piping hot misery to Zomato in 10 minutes!"" His remark comes after Zomato's shares hit an all-time low of ₹46 during Monday’s trade. In Hindi, Grover added that had it been a Zomato-Swiggy merger, the stock price would have been ₹450.",2022-07-26,Ridham Gambhir,https://twitter.com/Ashneer_Grover/status/1551781360875950083?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658809534233_211.jpg?,https://inshorts.com/en/news/blinkit-served-piping-hot-misery-to-zomato-ashneer-as-zomato-shares-hit-record-low-1658810765325,Twitter,Tuesday
Indermit Gill becomes 2nd Indian to be appointed as World Bank's Chief Economist,"The World Bank has appointed Indermit Gill as the Chief Economist and Senior Vice President for Development Economics. Gill will be the second Indian after Kaushik Basu to serve as Chief Economist at the World Bank. Basu held the position between 2012 and 2016. Reacting to it, Gill tweeted, ""I’m honoured by the opportunity"".",2022-07-26,Ridham Gambhir,https://www.moneycontrol.com/news/business/after-kaushik-basu-indermit-gill-to-be-second-indian-to-become-world-bank-chief-economist-8886491.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658807440575_505.jpg?,https://inshorts.com/en/news/indermit-gill-becomes-2nd-indian-to-be-appointed-as-world-banks-chief-economist-1658809259193,Moneycontrol,Tuesday
Amount of attention on me has gone supernova: Musk after report of dating Brin's wife,"Tesla CEO Elon Musk remarked that the amount of attention on him ""has gone supernova"". He tweeted, ""Unfortunately, even trivial articles about me generate a lot of clicks. Will try my best to head down and focus on doing useful things for civilization."" Notably, a recent article alleged that Musk had an affair with Google Co-founder Sergey Brin's wife, Nicole.",2022-07-26,Ridham Gambhir,https://twitter.com/elonmusk/status/1551698120328749056?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658804357222_72.jpg?,https://inshorts.com/en/news/amount-of-attention-on-me-has-gone-supernova-musk-after-report-of-dating-brins-wife-1658805585758,Twitter,Tuesday
"Sensex drops 306 points, Nifty drops 88 points to end 6-day gaining streak","Sensex on Monday dropped 306.01 points to close at 55,766.22 while Nifty dropped 88.45 points to close at 16,631. Both indices broke their six-day gaining streak on Monday. Mahindra and Mahindra was the worst performing Sensex stock, down 3.83%, followed by Reliance Industries and Maruti Suzuki India. Tata Steel rose 3.1% as the top gainer, accompanied by IndusInd Bank.",2022-07-25,Ashley Paul,https://www.financialexpress.com/market/share-market-today-live-updates-sensex-nifty-rupee-vs-dollar-us-federal-reserve-inflation-foreign-institutional-investors-us-gdp-results-today-july-25-monday/2604740/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658744232177_789.jpg?,https://inshorts.com/en/news/sensex-drops-306-points-nifty-drops-88-points-to-end-6day-gaining-streak-1658744705874,Financial Express,Monday
IMF cuts India's GDP growth forecast for current financial year by 80 bps to 7.4%,"The International Monetary Fund (IMF) cut its GDP growth forecast for India for the current financial year by 80 basis points to 7.4%. A similar downgrade has been made to the growth forecast for FY24, which now stands at 6.1% as against 6.9% earlier. ""The revision reflects mainly less favourable external conditions and more rapid policy tightening,"" the IMF said",2022-07-26,Anmol Sharma,https://www.moneycontrol.com/news/business/economy/imf-cuts-indias-fy23-growth-forecast-by-80-bps-to-7-4-8888651.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658843976225_746.jpg?,https://inshorts.com/en/news/imf-cuts-indias-gdp-growth-forecast-for-current-financial-year-by-80-bps-to-74-1658844959385,Moneycontrol,Tuesday
Shopify to lay off 10% of its workforce on slowing online orders,"Shopify is laying off 10% of its workforce, the e-commerce company said on Tuesday as it struggles with sales growth due to a post-pandemic slowdown in online shopping. Shopify had placed its bets on a pandemic-driven boom in online shopping. ""It's now clear that the bet didn't pay off,"" CEO Tobias Lutke said. About 1,000 workers will reportedly be affected.",2022-07-26,Ashley Paul,https://www.moneycontrol.com/news/business/canadas-shopify-cuts-10-of-workforce-on-slowing-online-orders-8893431.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658850658842_943.jpg?,https://inshorts.com/en/news/shopify-to-lay-off-10-of-its-workforce-on-slowing-online-orders-1658852551401,Moneycontrol,Tuesday
Notices issued to 4-5 firms over EV fire incidents: Consumer protection regulator,"Central Consumer Protection Authority's Chief Commissioner Nidhi Khare said the regulator has issued notices to 4-5 EV manufacturers, taking suo motu cognizance of consumer complaints regarding a series of EV fires. ""We asked them to provide reasons for series of fire incidents...and why [we] shouldn't take action,"" Khare said. Other concerned ministries are also examining the issue, she added.",2022-07-26,Ashley Paul,https://www.moneycontrol.com/news/economy/policy/ev-fire-incidents-consumer-protection-regulator-issues-notices-to-4-5-companies-8891561.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658840445834_83.jpg?,https://inshorts.com/en/news/notices-issued-to-45-firms-over-ev-fire-incidents-consumer-protection-regulator-1658834461031,Moneycontrol,Tuesday
"Paytm-parent's shares drop 10.5% to ₹678, its biggest dip in 9 weeks","The stock price of Paytm-parent One97 Communications Limited fell 10.5% at around 2:30 pm on Tuesday to ₹678.1/share, its biggest fall since May 24. The stock has slumped nearly 70% since its listing in November last year. Meanwhile, shares of Zomato have also dropped 73% from their all-time high price of ₹162/share, marking a sell-off of shares of technology firms.",2022-07-26,Ashley Paul,https://www.bqprime.com/markets/paytm-tanks-105-as-selloff-in-new-age-stocks-continues?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658831898038_564.jpg?,https://inshorts.com/en/news/paytmparents-shares-drop-105-to-₹678-its-biggest-dip-in-9-weeks-1658833969358,BQ Prime,Tuesday
India imported 4.7 times more oil from Russia in Apr-May: Russian central bank,"The Central Bank of Russian Federation (CBRF) on Tuesday said India hiked Russian oil imports by 4.7 times, or by over 4,00,000 barrels per day, in April-May 2022. Indian refiners have been buying Russian oil after its prices dropped due to sanctions imposed by western countries. CBRF said China too increased Russian oil purchases by 55% in May.",2022-07-26,Ashley Paul,https://www.reuters.com/business/energy/india-boosted-russian-oil-imports-april-may-by-more-than-400000-bpd-2022-07-26/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658849072936_892.jpg?,https://inshorts.com/en/news/india-imported-47-times-more-oil-from-russia-in-aprmay-russian-central-bank-1658850766418,Reuters,Tuesday
Union calls upon Lufthansa ground staff to strike on July 27,"German trade union Verdi has called on flagship carrier Lufthansa's ground staff to join a ""warning strike"" on Wednesday. Verdi has called the strike to negotiate a 9.5% pay hike for the carrier's 20,000 ground staffers, which includes technicians, logistics and other workers. The day-long strike is expected to disrupt operations in Frankfurt, Düsseldorf, Cologne, Hamburg, Munich and Berlin.",2022-07-26,Indraneel Sen,https://amp.dw.com/en/german-union-calls-for-lufthansa-ground-staff-to-strike/a-62584038?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658829790935_638.jpg?,https://inshorts.com/en/news/union-calls-upon-lufthansa-ground-staff-to-strike-on-july-27-1658834469243,DW News,Tuesday
"Axis Bank's net profit nearly doubles to ₹4,125 crore in Q1 FY23","Axis Bank on Monday said its net profit rose 91% YoY from ₹2,160 crore in Q1 FY22 to ₹4,125 crore in Q1 FY23. The bank's net interest income in the April-June quarter grew 21% YoY to ₹9,384 crore while its non-performing assets declined to 2.76% from 3.85% in Q1 FY22. Its core operating profit grew 17% YoY to ₹6,554 crore.",2022-07-25,Ashley Paul,https://www.financialexpress.com/industry/banking-finance/axis-bank-profit-nearly-doubles-to-rs-4125-crore-in-april-june/2605571/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658756038068_561.jpg?,https://inshorts.com/en/news/axis-banks-net-profit-nearly-doubles-to-₹4125-crore-in-q1-fy23-1658758909399,Financial Express,Monday
"GST Council looks at common man's interest, needs of revenue: Govt","Finance Minister Nirmala Sitharaman said the GST Council takes into account all relevant factors while making a recommendation and calibrates the common man's interest and needs of revenue. A simplified rate structure under GST, however, would ease compliance and provide greater transparency, she said. Council hasn't made any recommendation for change in existing GST rate slabs so far, she added.",2022-07-26,Ashley Paul,https://www.moneycontrol.com/news/business/gst-council-looks-at-interest-of-common-man-needs-of-revenue-says-finance-minister-8892461.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658843040872_346.jpg?,https://inshorts.com/en/news/gst-council-looks-at-common-mans-interest-needs-of-revenue-govt-1658845538124,Moneycontrol,Tuesday
Never slowed or stopped investing in India: Richest Indian Adani,"Richest India Gautam Adani said the Adani Group never slowed or stopped investing in India as the group's success is based on its alignment with India's growth story. The previously announced $70 billion investment in new energy business will help turn India into an exporter of clean energy, Adani said. ""Our strength in renewables will empower us enormously,"" he added.",2022-07-26,Ashley Paul,https://www.financialexpress.com/industry/adani-says-never-slowed-investments-usd-70-bn-to-turn-india-to-clean-energy-exporter/2606562/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658826768368_604.jpg?,https://inshorts.com/en/news/never-slowed-or-stopped-investing-in-india-richest-indian-adani-1658828510848,Financial Express,Tuesday
"₹14,820 cr tax demand raised under black money law on foreign income","Finance Minister Nirmala Sitharaman on Monday said the Centre has raised a tax demand of ₹14,820 crore after completing assessment in 368 cases under the black money law dealing with undisclosed foreign income. Sitharaman said 648 disclosures involving undisclosed foreign assets worth ₹4,164 crore were made in the one-time three months compliance window. The window had closed in September 2015.",2022-07-25,Ashley Paul,https://www.moneycontrol.com/news/business/economy/rs-14820-crore-tax-demand-raised-under-black-money-law-on-foreign-income-govt-8885701.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658760121697_618.jpg?,https://inshorts.com/en/news/₹14820-cr-tax-demand-raised-under-black-money-law-on-foreign-income-1658762160442,Moneycontrol,Monday
"Amount involved in bank frauds dropped 88% to ₹3,785 cr in 2 yrs: Govt","Minister of State for Finance Bhagwat Karad on Monday said the amount involved in frauds reported by banks and financial institutions declined by 88% in two years. The amount reduced from ₹32,178 crore in 2019-20 to ₹3,785 crore in 2021-22, Karad added. According to a report, India's non-performing assets (NPAs) have dropped to a six-year low as of March 2022.",2022-07-26,Ashley Paul,https://www.timesnownews.com/business-economy/economy/bank-frauds-reduce-by-8-in-last-two-years-union-minister-bhagwat-karad-article-93132178/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658828698065_588.jpg?,https://inshorts.com/en/news/amount-involved-in-bank-frauds-dropped-88-to-₹3785-cr-in-2-yrs-govt-1658832138950,Times Now,Tuesday
HDFC Bank to be among world's 10 most valuable banks post-merger: Report,"HDFC Bank will be among world's top 10 most valuable banks after its merger with Housing Development Finance Corporation (HDFC), a Times of India report said. HDFC Bank has a market capitalisation of about $108 billion and recently moved past Citigroup, which was ranked 17th. It'll also be the first Indian bank to make it to the top 10 club.",2022-07-25,Ashley Paul,https://www.moneycontrol.com/news/business/hdfc-bank-to-be-among-worlds-top-10-most-valuable-banks-after-merger-report-8881381.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658745826495_14.jpg?,https://inshorts.com/en/news/hdfc-bank-to-be-among-worlds-10-most-valuable-banks-postmerger-report-1658747051073,Moneycontrol,Monday
"Centre collected ₹7 lakh cr as net taxes in Apr-Jun quarter, up 24% YoY","The Centre's net tax collections in the April-June 2022 quarter were nearly ₹7 lakh crore, up 24% YoY, as per data given by the government in the Lok Sabha. While ₹3.44 lakh crore was collected as indirect tax, ₹3.55 lakh crore was collected as direct tax. The Centre had set ₹19.35 lakh crore as FY23's net tax collection target.",2022-07-25,Ashley Paul,https://www.moneycontrol.com/news/business/economy/centre-collected-rs-7-lakh-crore-as-net-taxes-in-april-june-up-24-from-last-year-8884381.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658757259239_975.jpg?,https://inshorts.com/en/news/centre-collected-₹7-lakh-cr-as-net-taxes-in-aprjun-quarter-up-24-yoy-1658758857451,Moneycontrol,Monday
"Income Tax dept raids 27 premises in Delhi, Mumbai; recovers ₹1.4 cr",Income Tax Department carried out search and seizure operations on July 5 on groups engaged in the agro and textile business and some others. A total of 27 premises were covered in Delhi-NCR and Mumbai and unaccounted cash worth ₹1.4 crore was seized. Incriminating evidence in the form of hard copy documents and digital data was also found and seized.,2022-07-26,Ashley Paul,https://theprint.in/economy/incriminating-documents-found-after-it-dept-raids-business-groups-in-delhi-mumbai/1055751/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/26_tue/img_1658835698352_111.jpg?,https://inshorts.com/en/news/income-tax-dept-raids-27-premises-in-delhi-mumbai-recovers-₹14-cr-1658838260262,The Print,Tuesday
RBI correct to use forex reserves to tackle Rupee volatility: EAC member,"Sanjeev Sanyal, a member of Economic Advisory Council (EAC) to the Prime Minister, said RBI is ""correct to use"" foreign exchange reserves to tackle Rupee's volatility. ""There's no point targeting an INR/USD level when USD is appreciating against all other [major currencies],"" Sanyal said. ""We need to maintain overall macro-stability and allow the cycle to play itself out,"" he added.",2022-07-25,Ashley Paul,https://www.moneycontrol.com/news/policy/economy-policy/rbi-correct-to-use-fx-reserves-to-tackle-rupee-volatility-economic-advisory-council-8882941.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658741704945_297.jpg?,https://inshorts.com/en/news/rbi-correct-to-use-forex-reserves-to-tackle-rupee-volatility-eac-member-1658743870619,Moneycontrol,Monday
"Zomato investors lose ₹89,000 crore in 8 months as stock falls to record low","About ₹89,000 crore has been wiped out of Zomato investors' wealth in eight months as the food delivery company's stock fell to a record low on Monday. Shares of Zomato declined over 13% to ₹46 on the NSE in early trade. The company's market value declined to ₹36,848 crore, from a peak of over ₹1.25 lakh crore in November 2021.",2022-07-25,Hiral Goyal,https://www.moneycontrol.com/news/business/stocks/zomato-tanks-13-to-record-lows-after-lock-in-ends-drains-rs-89000-crore-investors-wealth-8881151.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658726123550_724.jpg?,https://inshorts.com/en/news/zomato-investors-lose-₹89000-crore-in-7-months-as-stock-falls-to-record-low-1658726619668,Moneycontrol,Monday
Zomato share price falls by 14% to hit all-time low of ₹46,"Zomato's share price declined by 14% on Monday to hit an all-time low of ₹46 during early trade as the one-year lock-in for promoters, shareholders, employees and others ended today. The stock had last closed at ₹53.65 on Friday. Zomato was listed on the markets on July 23, 2021, and hit its lifetime high of ₹169 apiece in November 2021.",2022-07-25,Ridham Gambhir,https://www.bseindia.com/stock-share-price/zomato-ltd/zomato/543320/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/07_jul/25_mon/img_1658723775309_650.jpg?,https://inshorts.com/en/news/zomato-share-price-falls-by-13-to-hit-alltime-low-of-₹46-1658724340834,bseindia.com,Monday
