headlines,text,date,author,read_more,image_url,inshorts_url,original_source,day
Citigroup to fire unvaccinated US employees by month end: Report,"Citigroup on Friday told its staff in the US that it would terminate the employees who are unvaccinated against COVID-19 as of January 14, enforcing a policy that was announced last year, according to reports. Their last day of employment will reportedly come at the month end. The company reportedly allowed the employees to apply for religious or medical exemptions.",2022-01-07,Arshiya Chopra,https://www.bloombergquint.com/business/citigroup-confronts-vaccine-holdouts-in-no-jab-no-job-mandate?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641573010855_701.jpg?,https://inshorts.com/en/news/citigroup-to-fire-us-employees-not-vaccinated-against-covid19-as-of-jan-14-report-1641574638124,BloombergQuint,Friday
"How much money did Kohli, Ronaldo and other celebrities earn per Instagram post in 2021?","Team India Test captain Virat Kohli earned $680,000 (₹5 crore) per Instagram post in 2021, as per a report by Forbes India. Cristiano Ronaldo earned $1,604,000 (₹12 crore) per post, the highest among all the celebrities. He was followed by Dwayne Johnson ($1,523,000/post) and 
Ariana Grande ($1,510,000/post). Priyanka Chopra earned $403,000 per Instagram post last year.",2022-01-08,Anmol Sharma,https://www.crictracker.com/virat-kohli-charges-the-maximum-amount-per-instagram-post-in-india/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/8_sat/img_1641635477391_411.jpg?,https://inshorts.com/en/news/how-much-money-did-kohli-ronaldo-and-other-celebrities-earn-per-instagram-post-in-2021-1641637064860,CricTracker,Saturday
CCI orders probe into Google after complaint from news publishers,"The Competition Commission of India (CCI) has ordered an investigation into Google following allegations from the Digital News Publishers Association. The watchdog said its initial view was that the company had broken some antitrust laws. Google dominates certain online search services in the country and may have imposed unfair conditions on news publishers, the CCI added.",2022-01-07,Hiral Goyal,https://www.reuters.com/technology/indias-antitrust-body-orders-google-inquiry-after-news-publishers-complain-2022-01-07/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641573648011_619.jpg?,https://inshorts.com/en/news/cci-orders-probe-into-google-after-complaint-from-news-publishers-1641574891096,Reuters,Friday
What is Apple CEO Tim Cook's compensation breakup as he earns $98.7 million in 2021?,"Apple CEO Tim Cook received $98.73 million in compensation in 2021, the company's SEC filing revealed. This includes his salary of $3 million, $82.3 million in stock awards and $12 million bonus for hitting Apple financial and environmental sustainability goals. He received $1.39 million in other compensations, including $712,488 in personal air travel.",2022-01-07,Arshiya Chopra,https://www.moneycontrol.com/news/business/tim-cook-salary-here-is-how-much-the-apple-ceo-made-in-2021-7908971.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641547722329_373.jpg?,https://inshorts.com/en/news/what-is-apple-ceo-tim-cooks-compensation-breakup-as-he-earns-$987-million-in-2021-1641550209001,Moneycontrol,Friday
Celebs peddling crypto as safe is quite disgusting: Zerodha CEO,"Zerodha CEO Nithin Kamath said in a tweet that famous personalities triggering retail investors to invest in super risky asset classes without talking about the risks is ""quite disgusting"". He tweeted, ""Thanks to crypto, it's been a case of 'never meet your heroes' with so many people I admired, for peddling crypto, NFTs (non-fungible tokens), etc. as safe and guaranteed.""",2022-01-07,Hiral Goyal,https://twitter.com/Nithin0dha/status/1479057325809754117?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641556586723_838.jpg?,https://inshorts.com/en/news/celebs-peddling-crypto-as-safe-is-quite-disgusting-zerodha-ceo-1641557816850,Twitter,Friday
China fines 7-Eleven ₹17 lakh for listing Taiwan as a country on its website,"China has issued a warning to convenience store chain 7-Eleven for listing Taiwan as a country on its website and displaying maps containing incorrect borders for Xinjiang and Tibet. It has imposed a fine of $23,500 (₹17.5 lakh) on the company. ""This incident is true, and we sincerely accept (the warning and the fine),"" a spokesperson for the company said.",2022-01-07,Hiral Goyal,https://www.bloombergquint.com/onweb/china-fines-7-eleven-for-calling-taiwan-a-nation-on-map?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641552671630_559.jpg?,https://inshorts.com/en/news/china-fines-7eleven-$23500-for-listing-taiwan-as-a-country-on-website-1641555152958,BloombergQuint,Friday
India’s GDP estimated to rise 9.2% in FY 2021-22 compared to 7.3% contraction in 2020-21,"In the first advance estimates released by the National Statistical Office, the growth in real GDP during 2021-22 is estimated at 9.2% as compared to the contraction of 7.3% in 2020-21. ""Real GDP...in the year 2021-22 is estimated at ₹147.54 lakh crore, as against the Provisional Estimate of GDP for the year 2020-21 of ₹135.13 lakh crore,"" NSO stated.",2022-01-07,Arshiya Chopra,None,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641559435844_66.jpg?,https://inshorts.com/en/news/indias-gdp-estimated-to-rise-92-in-fy-202122-compared-to-73-contraction-in-202021-1641560881524,Inshorts,Friday
Gupta brothers step down from Ashoka University's board after CBI probe,"Two of the Co-founders of Ashoka University Vineet Gupta and Pranav Gupta have stepped down from all boards and committees of the varsity. The brothers, who are also directors of Chandigarh-based pharmaceutical company Parabolic Drugs Ltd (PDL), have been booked by the CBI for allegedly cheating the Central Bank of India and other banks to the tune of ₹1,626 crore.",2022-01-07,Hiral Goyal,https://www.moneycontrol.com/news/business/two-founders-of-ashoka-university-step-down-from-board-as-cbi-probes-them-for-alleged-rs-1627-crore-bank-fraud-related-to-parabolic-drugs-7910601.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641545226879_20.jpg?,https://inshorts.com/en/news/gupta-brothers-step-down-from-ashoka-universitys-board-after-cbi-probe-1641546722815,Moneycontrol,Friday
"Co-founders of Ashoka University Gupta brothers charged by CBI in ₹1,626-crore bank fraud","Co-founders of Ashoka University Pranav Gupta and Vineet Gupta, who also own Chandigarh-based pharmaceutical company Parabolic Drugs Ltd (PDL), have been booked by CBI for alleged bank fraud of around ₹1,626 crore. The case has been registered on complaint from Central Bank of India that PDL and its promoters and directors cheated a consortium of banks led by SBI.",2022-01-07,Anmol Sharma,None,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/7_fri/img_1641539264428_278.jpg?,https://inshorts.com/en/news/cofounders-of-ashoka-university-gupta-brothers-charged-by-cbi-in-₹1626crore-bank-fraud-1641540208633,Inshorts,Friday
"Startup body IndiaTech seeks clarity on crypto tax rules, writes to FM","IndiaTech, which represents tech startups, unicorns and investors, has written to Finance Minister Nirmala Sitharaman, seeking clarity on cryptocurrency taxation in Union Budget 2022-23, reported ET. ""The Budget should ideally offer coherent rules on direct taxation and the GST Council should detail the applicability of taxation, else there will be confusion,"" IndiaTech CEO Rameesh Kailasam said.",2022-01-08,Hiral Goyal,https://www.moneycontrol.com/news/business/cryptocurrency/indiatech-writes-to-finance-minister-seeks-clarity-on-crypto-tax-rules-in-budget-7913691.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/8_sat/img_1641633482441_125.jpg?,https://inshorts.com/en/news/startup-body-indiatech-seeks-clarity-on-crypto-tax-rules-writes-to-fm-1641635118749,Moneycontrol,Saturday
